,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
300389,16280223,226362829,2018-01-10,152134672,慧,非常好,Studio meublé proche centre ville,27203410,Maxime & Sandra,Lausanne,Lausanne,46.528459999999995,6.6303600000000005,Entire home/apt,75,2018,01,10
300539,16280223,594802804,2020-01-19,28761153,Pierre-Eugène,"Studio conforme à la description. Parking en sous terrain très agréable à Lausanne! Hôte disponible, réactif et précis!",Studio meublé proche centre ville,27203410,Maxime & Sandra,Lausanne,Lausanne,46.528459999999995,6.6303600000000005,Entire home/apt,75,2020,01,19
301039,16321377,404725037,2019-01-25,138673891,Kylie,Fabulous hosts,Appartement près de L'EPFL LS12,20127719,Costel & Pili,Ouest lausannois,Bussigny,46.55079,6.554819999999999,Entire home/apt,132,2019,01,25
301099,16332587,124237414,2017-01-01,32700754,Pasciuto,"Excellent moment dans cet appartement charmant et très bien situé. 
Merci à Michael pour cette rencontre 
A bientôt ","cosy, bright apartment in the center of Lausanne",46447050,Michael,Lausanne,Lausanne,46.523579999999995,6.627039999999999,Entire home/apt,80,2017,01,01
301109,16332587,125907833,2017-01-08,67045001,Axel,"Le logement est très propre et très confortable idéal pour un week end. Le logement est très bien situé en centre ville de Lausanne, proche de restaurants, magasins et de la gare. Je recommande vivement se logement!!!","cosy, bright apartment in the center of Lausanne",46447050,Michael,Lausanne,Lausanne,46.523579999999995,6.627039999999999,Entire home/apt,80,2017,01,08
301119,16332587,126763182,2017-01-14,100129828,Elodie,"Un appartement propre, confortable et bien situé pour visiter le centre ville. 
Michael nous a très bien organisé notre venue. 
Merci ! ","cosy, bright apartment in the center of Lausanne",46447050,Michael,Lausanne,Lausanne,46.523579999999995,6.627039999999999,Entire home/apt,80,2017,01,14
301615,16347017,225967187,2018-01-08,132868768,Cedric,We had a short stay and checked in relatively late in the evening. Kim was kind enough to take us in. The room is small but comfy. The view is amazing. The house was hard to find and there is a slight walk up the road to the house as you can’t park close. Kim was great in helping us find it and the walk wasn’t a problem for us but if you have knee or mobility issues it might be difficult. Overall a good place and experience.,Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2018,01,08
301623,16347017,226524573,2018-01-11,160367143,Matthew,Amazing view. Fantastic host. She even gave us a lift to the castle by the lake in the morning!,Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2018,01,11
301631,16347017,227811218,2018-01-16,109944672,琪,Thanks for your hospitality. It’s a nice place to stay with a stunning view,Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2018,01,16
302087,16347017,402087188,2019-01-17,162397366,Emelie,"Stunning view, clean room and bathroom, Kim was very kind and helpful! Highly recommend:)",Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2019,01,17
302095,16347017,402679898,2019-01-19,193225976,Manon,"Very nice place and hote.

Many thanks again :)",Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2019,01,19
302103,16347017,406622632,2019-01-30,33636233,Stewart,"Kim's house has a stunning view of Lake Geneva as you can see in the listing photos. You have to work for it though! The house is up quite a big hill that can be a bit tricky to get to on foot. There is a series of staircases down the hill that make for quite a nice scenic walk into town though. Kim herself was very friendly during my stay - unfortunately she was quite sick, but she was still able to provide me with a good set of recommendations for things to do nearby during my stay.",Small Room : Stunning Views of Lake Geneva & Alps,3139800,Kim,Riviera-Pays-d'Enhaut,Montreux,46.43353904760258,6.926930891547805,Private room,70,2019,01,30
302519,16349013,124538561,2017-01-02,42134753,Antonia,"Très bonne literie, central, sympa pour passer un week-end.",Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2017,01,02
302527,16349013,129033784,2017-01-29,21275129,Sophia,Bonne communication avec Carlos et Anna qui étaient très responsifs. Je cherchai un droit simple pour me dépanner 2 nuits dans la station que je connais bien  et c'était très bien pour cela. Le studio était très propre et calme. ,Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2017,01,29
302623,16349013,225027685,2018-01-05,69264006,Teng Jian,"Well furnished and well situated apartment, flexible and responsive hosts, although they were not present.",Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2018,01,05
302631,16349013,225647216,2018-01-07,43339563,Sylvie,"Un studio sympa, bien agencé, bien situé. Juste un peu de bruit la nuit, mais sinon tout était super!
Une adresse à conseiller!",Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2018,01,07
302639,16349013,227206249,2018-01-14,17363351,Carol,très joli petit studio au centre ville de Villar sur Ollon. A deux pas de tous commerces. Très bonne literie. Dommage que les lampes lampes de chevet n'aient pas fonctionné. Pour le ski nous conseillons aux futurs hôtes de louer au magasin qui se situe au pied du télésiège et de laisser les skis en consigne le soir afin de ne pas avoir à les porter tous les jours. C'est très pratique! C'est une bonne adresse!,Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2018,01,14
302647,16349013,228831564,2018-01-21,159949783,Laurent,"Emplacement très pratique au centre du village. 
Studio très propre.",Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2018,01,21
302655,16349013,230521416,2018-01-28,20153677,Dan,The apartment in Villars was perfect in every way. Communication with Carlos and Anna was great. Highly recommended place and hosts,Studio avec balcon à Villars Soleil.,65957506,Carlos & Anna,Aigle,Ollon,46.29933143033055,7.057138437482369,Entire home/apt,95,2018,01,28
303043,16381045,223950919,2018-01-02,74762271,Ondřej,U Selima se nám bydlelo dobře.,"Chambre à Lausanne, proche centre et EPFL/UNIL",107297117,Selim,Lausanne,Lausanne,46.525162713865576,6.589187960098847,Private room,55,2018,01,02
303259,16411420,227802115,2018-01-16,160265662,Gabriella,"I really loved this place. It is right in the centre of Lausanne, easy to reach on foot from Lausanne train station and a very safe area too. Dennis was very accommodating and did the check-in with me straight away when I arrived. The room was very clean, light and spacious. It was also nice, warm and cosy. The bathroom too was new and very clean.  I thought it was excellent value for money and I would definitely book this place again when I return to Lausanne.",Chambre en plein ville de Lausanne,107469676,Dennis,Lausanne,Lausanne,46.52458266366478,6.627509188258113,Private room,48,2018,01,16
303262,16411420,228154525,2018-01-18,6225276,Jean-Baptiste,"Excellent hôte. Je ne suis resté qu'une seule nuit et même si Dennis n'était pas présent, il a tout fait à distance pour que ma nuitée se passe bien. Appartement bien situé et facilement accessible. Conforme à la description, je recommande.",Chambre en plein ville de Lausanne,107469676,Dennis,Lausanne,Lausanne,46.52458266366478,6.627509188258113,Private room,48,2018,01,18
